investor_id,scheme_code,scheme_name,sebi_category,month_date,tenure_months,sip_amount,payment_status,nav_value,age,city_tier,occupation_type,discontinued,discontinuation_date
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-01-2024,1,1500,Paid,76.03,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-02-2024,2,1500,Paid,76.93,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-03-2024,3,1500,Paid,77.2,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-04-2024,4,1500,Paid,77.81,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-05-2024,5,1500,Paid,80.63,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-06-2024,6,1500,Paid,82.09,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-07-2024,7,1500,Paid,81.02,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-08-2024,8,1500,Paid,81.63,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-09-2024,9,1500,Paid,82.67,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-10-2024,10,1500,Missed,82.9,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-11-2024,11,1500,Paid,80.24,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-12-2024,12,1500,Paid,79.34,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-01-2025,13,1500,Paid,79.16,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-02-2025,14,1500,Paid,82.62,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-03-2025,15,1500,Paid,83.92,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-04-2025,16,1500,Paid,81.83,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-05-2025,17,1500,Paid,82.17,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-06-2025,18,1500,Paid,84.84,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-07-2025,19,1500,Paid,84.36,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-08-2025,20,1500,Paid,86.61,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-09-2025,21,1500,Paid,84.5,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-10-2025,22,1500,Paid,80.22,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-11-2025,23,1500,Paid,82.63,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-12-2025,24,1500,Paid,82.36,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-01-2026,25,1500,Missed,79.77,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-02-2026,26,1500,Paid,79.63,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-03-2026,27,1500,Paid,80.41,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-04-2026,28,1500,Paid,81.62,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-05-2026,29,1500,Paid,78.05,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,01-06-2026,30,1500,Paid,77.49,29,Tier 2,Self-Employed,0,
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-09-2023,1,1000,Paid,124.73,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-10-2023,2,1000,Paid,127.66,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-11-2023,3,1000,Missed,129.61,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-12-2023,4,1000,Paid,126.28,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-01-2024,5,1000,Paid,126.08,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-02-2024,6,1000,Paid,124.05,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-03-2024,7,1000,Paid,126.55,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-04-2024,8,1000,Paid,129.2,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-05-2024,9,1000,Paid,127.87,38,Tier 1,Salaried,1,01-03-2025
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,01-06-2024,10,1000,Paid,127.35,38,Tier 1,Salaried,1,01-03-2025
