investor_id,scheme_code,scheme_name,sebi_category,month_date,tenure_months,sip_amount,payment_status,nav_value,age,city_tier,occupation_type,discontinued,discontinuation_date
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-01-01,1,1500,Paid,76.0318,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-02-01,2,1500,Paid,76.9271,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-03-01,3,1500,Paid,77.1998,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-04-01,4,1500,Paid,77.8072,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-05-01,5,1500,Paid,80.6338,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-06-01,6,1500,Paid,82.0886,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-07-01,7,1500,Paid,81.0183,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-08-01,8,1500,Paid,81.63,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-09-01,9,1500,Paid,82.6653,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-10-01,10,1500,Missed,82.9046,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-11-01,11,1500,Paid,80.2387,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2024-12-01,12,1500,Paid,79.3394,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-01-01,13,1500,Paid,79.1592,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-02-01,14,1500,Paid,82.6227,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-03-01,15,1500,Paid,83.9216,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-04-01,16,1500,Paid,81.828,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-05-01,17,1500,Paid,82.1658,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-06-01,18,1500,Paid,84.8375,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-07-01,19,1500,Paid,84.3563,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-08-01,20,1500,Paid,86.6143,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-09-01,21,1500,Paid,84.502,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-10-01,22,1500,Paid,80.2226,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-11-01,23,1500,Paid,82.6297,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2025-12-01,24,1500,Paid,82.36,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2026-01-01,25,1500,Missed,79.7744,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2026-02-01,26,1500,Paid,79.6331,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2026-03-01,27,1500,Paid,80.4142,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2026-04-01,28,1500,Paid,81.6192,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2026-05-01,29,1500,Paid,78.047,29,Tier 2,Self-Employed,0,
INV10001,SCH106,Flexi Growth Fund,Debt - Short Duration,2026-06-01,30,1500,Paid,77.4878,29,Tier 2,Self-Employed,0,
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,2023-09-01,1,1000,Paid,124.7285,38,Tier 1,Salaried,1,2025-03-01
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,2023-10-01,2,1000,Paid,127.6556,38,Tier 1,Salaried,1,2025-03-01
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,2023-11-01,3,1000,Missed,129.613,38,Tier 1,Salaried,1,2025-03-01
INV10002,SCH110,Balanced Advantage Fund,Large Cap Equity,2023-12-01,4,1000,Paid,126.2761,38,Tier 1,Salaried,1,2025-03-01
